Timestamp,depth,depth_on_road,latitude,longitude,on_road_latitude,on_road_longitude,x,y,w,h
1641503798_770699344,32.09558105,31.39536667,41.68256844,-72.69109002,41.68258015,-72.69100382,220.8444519,167.5125275,25.74774551,70.55105591
1641503798_803211344,31.82559204,31.11859703,41.68256841,-72.69109082,41.68258017,-72.69100382,221.2578735,167.3161469,26.18278885,71.18682098
1641503798_969513344,30.92749023,30.19040108,41.68256391,-72.69109421,41.68257595,-72.69100275,222.9015503,165.0203705,25.42807007,73.90743256
1641503798_969513344,29.14929962,28.42132187,41.68257995,-72.69109567,41.68259158,-72.69100674,224.0279541,165.6153564,30.68473816,77.8596344
1641503799_002603344,31.1776123,30.42661285,41.68255916,-72.69109491,41.68257139,-72.69100158,223.1554718,164.8375549,27.2143898,72.74653625
1641503799_002603344,29.00904846,28.28017616,41.6825787,-72.69109601,41.68259036,-72.69100643,224.1755676,165.2354584,31.40247917,78.12171173
1641503799_102686344,28.97723389,28.21945381,41.68257144,-72.69109827,41.68258342,-72.69100466,225.1629639,163.5210876,29.2816143,78.71298218
1641503799_102686344,29.23558044,28.48161697,41.6825691,-72.69109772,41.6825811,-72.69100406,224.8168793,159.1890564,30.43867874,77.65559387
1641503799_102686344,31.53334045,30.75751305,41.68254839,-72.69109641,41.682561,-72.69099892,223.664917,163.4623566,28.54985428,71.43949127
1641503799_136160344,28.80729675,28.05029488,41.68257044,-72.69109856,41.68258242,-72.6910044,225.2841797,163.9382324,30.00973511,79.05874634
1641503799_136160344,30.63697815,29.83908653,41.68255398,-72.69109901,41.68256661,-72.69100036,225.0603943,159.3525696,28.93933678,73.87908936
1641503799_136160344,31.27778625,30.50839424,41.68254814,-72.69109642,41.6825607,-72.69099885,223.6602936,164.1084137,28.66865349,72.12479401
1641503799_202535344,27.47406769,26.71329498,41.68257746,-72.69110068,41.68258927,-72.69100615,226.6107025,162.7918549,30.54575539,83.12591553
1641503799_202535344,29.33279419,28.53041267,41.68256074,-72.69110112,41.68257322,-72.69100205,226.2980804,158.724823,29.55856514,77.56797028
1641503799_269582344,28.56686401,27.75777245,41.68256259,-72.69110278,41.68257504,-72.69100251,227.193573,157.7516327,30.63111115,79.65287018
1641503799_269582344,27.47805786,26.6937294,41.68257239,-72.69110252,41.68258444,-72.69100492,227.3959045,162.564743,30.91398239,83.02329254
1641503799_336792344,26.06555939,25.29785538,41.68257358,-72.691075,41.68258418,-72.69100326,228.2198334,163.1264191,32.29000092,87.35969543
1641503799_336792344,26.97803497,26.19096947,41.68256538,-72.69107521,41.6825763,-72.69100121,227.9687347,158.404953,32.79554367,84.20103455
1641503799_406353344,23.82933807,23.10013008,41.68258772,-72.69107536,41.68259769,-72.69100676,229.2430573,162.7121887,33.99494934,94.84222412
1641503799_406353344,26.34150696,25.54566956,41.68256515,-72.69107658,41.6825761,-72.69100116,228.8986359,157.5341797,33.95782089,86.03720856
1641503799_469540344,25.36902618,24.5755291,41.68256849,-72.69107768,41.68257931,-72.69100199,229.8372803,156.0153503,33.08959579,89.55661011
1641503799_469540344,21.36827087,20.71048546,41.68260438,-72.69107428,41.68261343,-72.69101083,229.4034576,161.8239288,35.45478439,103.956543
1641503799_535760344,22.1855011,21.46922112,41.68259141,-72.69107698,41.68260112,-72.69100765,230.7103729,157.006485,36.77532196,100.3784027
1641503799_535760344,19.10551453,18.50098801,41.68261903,-72.69107399,41.68262733,-72.69101443,230.1536255,161.6794434,37.32950211,112.9761963
1641503799_602727344,21.24273682,20.52550125,41.68259418,-72.69107835,41.68260378,-72.69100833,231.9669189,154.2766724,38.19089508,103.7665405
1641503799_602727344,18.50292969,17.88570786,41.68261874,-72.69107567,41.68262708,-72.69101437,231.6246948,160.4727631,39.34797668,115.1026001
1641503799_669608344,19.72119141,19.0068779,41.68260221,-72.69108009,41.68261151,-72.69101034,233.9973145,153.0817108,40.3571167,109.5348053
1641503799_669608344,17.60508728,16.9620018,41.6826212,-72.69107836,41.68262957,-72.69101502,234.2468567,160.3128052,40.04875946,118.9960556
1641503799_735887344,19.85002136,19.06283379,41.68259557,-72.69108427,41.6826054,-72.69100875,236.7269897,152.6764069,41.97197342,108.6034546
1641503799_735887344,20.91526794,20.09099197,41.68258601,-72.69108519,41.68259632,-72.6910064,236.535141,160.3644867,41.81981277,104.2375565
1641503799_769487344,19.87361145,19.05314064,41.68259258,-72.69108626,41.68260264,-72.69100804,237.9795074,152.9172058,37.82999039,109.525322
1641503799_769487344,20.38145447,19.56059074,41.68258797,-72.69108584,41.68259816,-72.69100688,237.205658,160.3918152,39.54203796,106.9592361
1641503799_869303344,20.15350342,19.24387169,41.6825818,-72.69109158,41.68259249,-72.69100541,240.8496857,155.8826294,43.91854858,106.8934784
1641503799_869303344,19.36296082,18.4732914,41.68258893,-72.6910913,41.6825993,-72.69100717,241.4392548,161.5557709,47.62014008,109.4238892
1641503799_869303344,21.28796387,20.36890221,41.6825715,-72.69109104,41.68258256,-72.69100284,239.4026489,154.7806396,39.69049835,103.2254105
1641503799_936583344,18.39910889,17.5369072,41.68259185,-72.69109171,41.68260186,-72.69100784,242.0971375,156.0679169,44.3598175,114.3249359
1641503799_936583344,16.73336792,15.93331051,41.6826068,-72.69109019,41.68261602,-72.69101151,242.7749176,160.7604065,47.03842163,121.3197021
1641503799_969436344,20.67683411,19.66056442,41.68256889,-72.69109765,41.68258033,-72.69100226,243.7175598,155.6919708,44.31794739,104.6580734
1641503799_969436344,17.38839722,16.52576637,41.68259828,-72.69109316,41.682608,-72.69100943,244.0383301,160.7289276,49.74060822,117.6791382
1641503799_969436344,15.2482605,14.56050777,41.68261705,-72.69108631,41.68262536,-72.69101392,240.8267059,155.8014832,61.05492401,125.5334167
1641503800_069431344,19.84674072,18.76642609,41.68256824,-72.69110301,41.68257974,-72.69100211,247.3222351,155.4682159,48.86263657,107.1386948
1641503800_069431344,15.87036133,15.01554298,41.6826036,-72.69109585,41.68261286,-72.69101069,246.9415588,161.4263916,52.74917221,124.1641006
1641503800_069431344,11.12780762,10.51772118,41.68264591,-72.69108857,41.68265257,-72.69102098,247.5831604,153.0479126,56.01616287,148.4595337
1641503800_136109344,18.01927185,16.91431999,41.68257951,-72.69110709,41.68259044,-72.69100488,251.7757263,161.6709442,52.01047516,114.3707962
1641503800_136109344,20.7649231,19.45685959,41.68255533,-72.69111396,41.68256799,-72.69099906,252.8204498,156.0858917,47.7347641,103.60466
1641503800_269462344,18.42018127,16.90940666,41.68256708,-72.69112783,41.68257918,-72.69100196,263.8701172,154.1454315,47.65115356,113.4966736
1641503801_136009344,52.11175537,51.67797852,41.68216669,-72.69100914,41.68217758,-72.69091748,203.4772949,188.3315125,16.21381187,33.81555557
1641503801_336136344,49.65640259,49.20052338,41.68216121,-72.69100683,41.68216996,-72.69092873,204.8838806,187.8358002,15.59442616,37.32862473
1641503801_469483344,50.8086853,50.31772232,41.68213604,-72.69100861,41.68214539,-72.69092384,205.6470184,186.6799316,14.86123943,35.85079193
1641503801_536260344,50.69026184,50.22571945,41.68212971,-72.69100626,41.68213888,-72.69092255,204.8576355,186.4840698,14.19701958,36.16480255
1641503801_602665344,49.06700897,48.58344269,41.68213692,-72.69100948,41.6821462,-72.690924,205.9458923,186.6375885,14.29095745,38.49443054
1641503801_669549344,49.13877106,48.65018463,41.68212885,-72.69100979,41.68213826,-72.69092243,206.0814362,184.0135956,13.50129128,38.58457565
1641503801_736066344,49.4497757,48.96863937,41.68211867,-72.69100873,41.68212812,-72.69092041,205.7513123,184.3074493,14.17366409,37.95479584
1641503801_802937344,48.34137726,47.85602188,41.68212121,-72.69101017,41.68213068,-72.69092092,206.2308197,183.348114,13.10541344,39.90470123
1641503801_869548344,47.11357117,46.62408829,41.68212486,-72.69101175,41.68213433,-72.69092165,206.7615967,182.8848267,14.16439629,41.56076813
1641503802_636189344,40.21350861,39.64773941,41.68209423,-72.69099427,41.68210401,-72.69090881,211.8901215,177.5772095,17.72025299,53.24225616
1641503802_669316344,40.31494904,39.71725845,41.68208937,-72.69099668,41.68209947,-72.69090785,212.8579102,174.5763092,18.00335121,52.95724869
1641503802_769425344,38.79977417,38.2105751,41.68209101,-72.69099773,41.682101,-72.69090817,213.3099823,173.9454651,18.24320984,56.09896851
1641503802_836356344,38.63367462,38.03731537,41.68208449,-72.69099865,41.68209462,-72.69090681,213.6215515,173.0852203,19.75333786,56.05847168
1641503802_902978344,37.15312958,36.55780029,41.68208984,-72.69100025,41.68209987,-72.69090793,214.3420105,172.8291626,18.95405579,59.59673691
1641503802_970021344,36.64228821,36.0529747,41.68208641,-72.69100053,41.68209642,-72.6909072,214.4138794,172.0175018,19.44856453,60.64951324
1641503803_036152344,35.86414337,35.26269913,41.68208551,-72.69100257,41.68209561,-72.69090702,215.2388306,170.4375305,20.06931114,62.33292389
1641503803_103319344,34.65253448,34.04546738,41.6820884,-72.6910046,41.68209847,-72.69090763,216.1187286,168.394104,21.36806297,64.96675873
1641503803_169731344,34.55027771,33.89721298,41.68208146,-72.69100878,41.68209193,-72.69090624,217.6965637,168.9638824,22.25932884,64.98532104
1641503803_236291344,32.27445984,31.64979362,41.68209398,-72.69100936,41.68210401,-72.69090881,218.2008057,167.2549286,21.77615356,71.12915039
1641503803_304476344,31.51626587,30.84147453,41.68209035,-72.69098675,41.68209874,-72.69091395,220.4193878,164.7316742,26.30087471,72.01768494
1641503803_304476344,24.03837585,22.10858536,41.68216365,-72.69103312,41.68217644,-72.69092935,262.9158325,149.3524017,40.72826385,92.55516052
1641503803_369793344,31.77349091,31.05364037,41.68207993,-72.69098982,41.68208871,-72.69091196,221.7115784,163.1345825,26.89319992,71.15901184
1641503803_369793344,34.74911499,33.9956131,41.68205313,-72.6909903,41.68206254,-72.69090677,220.7060699,158.4026794,26.59851837,63.45832443
1641503803_436452344,31.34638977,30.61078835,41.68207545,-72.69099166,41.68208434,-72.69091109,222.5348206,162.9425964,27.00725937,72.3212204
1641503803_436452344,33.57637024,32.81095505,41.68205538,-72.69099227,41.68206477,-72.69090721,221.8553009,157.9058685,27.07080841,66.30914307
1641503803_503337344,30.43697357,29.69782066,41.68207528,-72.6909931,41.68208413,-72.69091105,223.3506622,162.3723755,27.98620987,74.68013763
1641503803_503337344,31.24110413,30.49356461,41.68206803,-72.69099318,41.68207705,-72.69090965,222.9966125,157.740921,27.49855232,72.49948883
1641503803_503337344,28.94846344,28.20420074,41.68208876,-72.69099408,41.68209741,-72.69091368,224.7406616,162.9095764,34.53373718,77.63742828
1641503803_503337344,28.31929016,27.58604813,41.68209442,-72.69099376,41.68210291,-72.69091477,224.9154663,158.5502777,33.67052078,79.73904419
1641503803_569636344,28.37408447,27.63865662,41.6820856,-72.69099476,41.68209418,-72.69091304,224.94133,156.2678986,33.51599121,79.60263062
1641503803_569636344,29.20111847,28.48382759,41.68207805,-72.6909933,41.68208666,-72.69091155,223.6259766,154.4147644,29.00776672,78.09790039
1641503803_636305344,27.28617859,26.53013039,41.68208715,-72.69099743,41.68209573,-72.69091335,226.6269684,156.2493591,37.45188141,82.2096405
1641503803_636305344,26.78491974,26.03754807,41.68209166,-72.69099719,41.68210011,-72.69091422,226.8070374,161.2243958,38.58249283,83.6007309
1641503803_669552344,27.00512695,26.24341393,41.68208555,-72.6909984,41.68209414,-72.69091303,227.0866394,153.776825,38.37786865,82.92875671
